model_name,fixed_name,random_name,formula_text,fit_ok,converged,singular,n_observations,AIC,BIC,logLik,error_message,delta_AIC,delta_BIC,AIC_rank
group_auci__id_intercept,group_auci,id_intercept,percentage_fix_duration_beta ~ Group * AUCi_z + (1 | ID),TRUE,TRUE,FALSE,225,-229.87316321086485,-209.37656079763832,120.93658160543242,,0,0,1
group_auci_session_add__id_intercept,group_auci_session_add,id_intercept,percentage_fix_duration_beta ~ Group * AUCi_z + session + (1 | ID),TRUE,TRUE,FALSE,225,-227.5797334225219,-196.83482980268212,122.78986671126096,,2.2934297883429338,12.541730994956197,2
group_auci_med_add__id_intercept,group_auci_med_add,id_intercept,percentage_fix_duration_beta ~ Group * AUCi_z + medication + (1 | ID),TRUE,TRUE,FALSE,225,-226.9803589005052,-196.2354552806654,122.4901794502526,,2.892804310359651,13.141105516972914,3
group_auci_med_session_add__id_intercept,group_auci_med_session_add,id_intercept,percentage_fix_duration_beta ~ Group * AUCi_z + medication + session + (1 | ID),TRUE,TRUE,FALSE,225,-225.82713847217607,-184.83393364572305,124.91356923608804,,4.0460247386887715,24.54262715191527,4
group_auci_session_med__id_intercept,group_auci_session_med,id_intercept,percentage_fix_duration_beta ~ Group * AUCi_z + medication + session + (1 | ID),TRUE,TRUE,FALSE,225,-225.82713847217607,-184.83393364572305,124.91356923608804,,4.0460247386887715,24.54262715191527,5
group_auci_med_interaction__id_intercept,group_auci_med_interaction,id_intercept,percentage_fix_duration_beta ~ Group * AUCi_z + Group * medication + (1 | ID),TRUE,TRUE,FALSE,225,-224.48277597841084,-183.48957115195782,124.24138798920542,,5.390387232454003,25.8869896456805,6
group_auci__id_session_slope_diag,group_auci,id_session_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + diag(1 + session | ID),TRUE,TRUE,TRUE,225,-223.87942385532017,-193.13452023548038,120.93971192766008,,5.993739355544676,16.24204056215794,7
group_auci__id_medication_slope_diag,group_auci,id_medication_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + diag(1 + medication | ID),TRUE,TRUE,TRUE,225,-223.87316318112664,-193.12825956128685,120.93658159056332,,6.000000029738203,16.248301236351466,8
group_auci_by_medication__id_intercept,group_auci_by_medication,id_intercept,percentage_fix_duration_beta ~ Group * AUCi_z * medication + (1 | ID),TRUE,TRUE,FALSE,225,-222.30824351629133,-160.81843627661175,129.15412175814566,,7.564919694573518,48.55812452102657,9
group_auci_session_add__id_medication_slope_diag,group_auci_session_add,id_medication_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + session + diag(1 + medication | ID),TRUE,TRUE,TRUE,225,-221.701674515518,-180.70846968906494,122.850837257759,,8.171488695346852,28.66809110857338,10
group_auci_session_add__id_session_slope_diag,group_auci_session_add,id_session_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + session + diag(1 + session | ID),TRUE,TRUE,TRUE,225,-221.64617553839446,-180.6529707119414,122.82308776919723,,8.226987672470386,28.723590085696912,11
group_auci_med_add__id_medication_slope_diag,group_auci_med_add,id_medication_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + medication + diag(1 + medication | ID),TRUE,TRUE,TRUE,225,-220.98321358306987,-179.99000875661682,122.49160679153493,,8.889949627794977,29.386552041021503,12
group_auci_med_add__id_session_slope_diag,group_auci_med_add,id_session_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + medication + diag(1 + session | ID),TRUE,TRUE,TRUE,225,-220.98103854798967,-179.98783372153662,122.49051927399483,,8.892124662875176,29.388727076101702,13
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add,id_medication_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + medication + session + diag(1 + medication | ID),TRUE,TRUE,TRUE,225,-220.0484287241594,-168.80692269109312,125.0242143620797,,9.824734486705438,40.5696381065452,14
group_auci_session_med__id_medication_slope_diag,group_auci_session_med,id_medication_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + medication + session + diag(1 + medication | ID),TRUE,TRUE,TRUE,225,-220.0484287241594,-168.80692269109312,125.0242143620797,,9.824734486705438,40.5696381065452,15
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add,id_session_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + medication + session + diag(1 + session | ID),TRUE,TRUE,TRUE,225,-219.83206918215285,-168.59056314908656,124.91603459107642,,10.041094028711996,40.785997648551756,16
group_auci_session_med__id_session_slope_diag,group_auci_session_med,id_session_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + medication + session + diag(1 + session | ID),TRUE,TRUE,TRUE,225,-219.83206918215285,-168.59056314908656,124.91603459107642,,10.041094028711996,40.785997648551756,17
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction,id_session_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + Group * medication + diag(1 + session | ID),TRUE,TRUE,TRUE,225,-218.53674811316625,-167.29524208009997,124.26837405658313,,11.336415097698591,42.08131871753835,18
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction,id_medication_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z + Group * medication + diag(1 + medication | ID),TRUE,TRUE,TRUE,225,-218.50088597878073,-167.25937994571444,124.25044298939036,,11.372277232084116,42.11718085192388,19
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication,id_medication_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z * medication + diag(1 + medication | ID),TRUE,TRUE,TRUE,225,-216.5081876456112,-144.7700791993184,129.2540938228056,,13.364975565253644,64.60648159831993,20
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication,id_session_slope_diag,percentage_fix_duration_beta ~ Group * AUCi_z * medication + diag(1 + session | ID),TRUE,TRUE,TRUE,225,-216.3271910763034,-144.58908263001058,129.1635955381517,,13.545972134561453,64.78747816762774,21
group_auci__none,group_auci,none,percentage_fix_duration_beta ~ Group * AUCi_z,TRUE,TRUE,FALSE,225,-153.34063219641496,-136.26013018539285,81.67031609820748,,76.53253101444989,73.11643061224547,22
group_auci_med_add__none,group_auci_med_add,none,percentage_fix_duration_beta ~ Group * AUCi_z + medication,TRUE,TRUE,FALSE,225,-148.9624581298773,-121.63365491224192,82.48122906493865,,80.91070508098755,87.7429058853964,23
group_auci_session_add__none,group_auci_session_add,none,percentage_fix_duration_beta ~ Group * AUCi_z + session,TRUE,TRUE,FALSE,225,-148.26680408994508,-120.93800087230971,82.13340204497254,,81.60635912091976,88.4385599253286,24
group_auci_med_interaction__none,group_auci_med_interaction,none,percentage_fix_duration_beta ~ Group * AUCi_z + Group * medication,TRUE,TRUE,FALSE,225,-144.6078926977645,-107.03078827351587,83.30394634888225,,85.26527051310035,102.34577252412245,25
group_auci_med_session_add__none,group_auci_med_session_add,none,percentage_fix_duration_beta ~ Group * AUCi_z + medication + session,TRUE,TRUE,FALSE,225,-144.45803208147026,-106.88092765722163,83.22901604073513,,85.41513112939458,102.49563314041669,26
group_auci_session_med__none,group_auci_session_med,none,percentage_fix_duration_beta ~ Group * AUCi_z + medication + session,TRUE,TRUE,FALSE,225,-144.45803208147026,-106.88092765722163,83.22901604073513,,85.41513112939458,102.49563314041669,27
group_auci_by_medication__none,group_auci_by_medication,none,percentage_fix_duration_beta ~ Group * AUCi_z * medication,TRUE,TRUE,FALSE,225,-142.0638400200699,-83.99013318259476,88.03192001003495,,87.80932319079494,125.38642761504356,28
